"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/11001","","District of Columbia","Mean_Concentration_AirPollutant_PM2.5","2015","EPA_EJSCREEN_AggCensusTract_AggCounty","https://gaftp.epa.gov/EJSCREEN/","","MicrogramsPerCubicMeter","µg/m³",10.415272178771,"Mean Concentration of PM2.5 Air Pollutant"
"geoId/11001","","District of Columbia","Mean_Concentration_AirPollutant_PM2.5","2016","EPA_EJSCREEN_AggCensusTract_AggCounty","https://gaftp.epa.gov/EJSCREEN/","","MicrogramsPerCubicMeter","µg/m³",9.99627595323111,"Mean Concentration of PM2.5 Air Pollutant"
"geoId/11001","","District of Columbia","Mean_Concentration_AirPollutant_PM2.5","2017","EPA_EJSCREEN_AggCensusTract_AggCounty","https://gaftp.epa.gov/EJSCREEN/","","MicrogramsPerCubicMeter","µg/m³",9.32606710798219,"Mean Concentration of PM2.5 Air Pollutant"
"geoId/11001","","District of Columbia","Mean_Concentration_AirPollutant_PM2.5","2018","EPA_EJSCREEN_AggCensusTract_AggCounty","https://gaftp.epa.gov/EJSCREEN/","","MicrogramsPerCubicMeter","µg/m³",9.79911724802888,"Mean Concentration of PM2.5 Air Pollutant"
"geoId/11001","","District of Columbia","Mean_Concentration_AirPollutant_PM2.5","2019","EPA_EJSCREEN_AggCensusTract_AggCounty","https://gaftp.epa.gov/EJSCREEN/","","MicrogramsPerCubicMeter","µg/m³",8.8243362426353,"Mean Concentration of PM2.5 Air Pollutant"
"geoId/11001","","District of Columbia","Mean_Concentration_AirPollutant_PM2.5","2020","EPA_EJSCREEN_AggCensusTract_AggCounty","https://gaftp.epa.gov/EJSCREEN/","","MicrogramsPerCubicMeter","µg/m³",9.01977381954542,"Mean Concentration of PM2.5 Air Pollutant"
"geoId/11001","","District of Columbia","Mean_Concentration_AirPollutant_PM2.5","2021","EPA_EJSCREEN_AggCensusTract_AggCounty","https://gaftp.epa.gov/EJSCREEN/","","MicrogramsPerCubicMeter","µg/m³",8.61347973949644,"Mean Concentration of PM2.5 Air Pollutant"
"geoId/11001","","District of Columbia","Mean_Concentration_AirPollutant_PM2.5","2022","EPA_EJSCREEN_AggCensusTract_AggCounty","https://gaftp.epa.gov/EJSCREEN/","","MicrogramsPerCubicMeter","µg/m³",8.60846620494574,"Mean Concentration of PM2.5 Air Pollutant"
"geoId/11001","","District of Columbia","Mean_Concentration_AirPollutant_PM2.5","2023","EPA_EJSCREEN_AggCensusTract_AggCounty","https://gaftp.epa.gov/EJSCREEN/","","MicrogramsPerCubicMeter","µg/m³",8.25977594731169,"Mean Concentration of PM2.5 Air Pollutant"
