Location,Date,AQI
District of Columbia,1980-06-26,57.0
District of Columbia,1980-06-27,164.0
District of Columbia,1980-06-28,200.0
District of Columbia,1980-06-29,147.0
District of Columbia,1980-06-30,80.0
District of Columbia,1980-07-01,156.0
District of Columbia,1980-07-02,136.0
District of Columbia,1980-07-03,84.0
District of Columbia,1980-07-04,200.0
District of Columbia,1980-07-05,140.0
District of Columbia,1980-07-06,105.0
District of Columbia,1980-07-07,126.0
District of Columbia,1980-07-08,103.0
District of Columbia,1980-07-09,147.0
District of Columbia,1980-07-10,108.0
District of Columbia,1980-07-11,182.0
District of Columbia,1980-07-12,151.0
District of Columbia,1980-07-13,119.0
District of Columbia,1980-07-14,223.0
District of Columbia,1980-07-15,210.0
District of Columbia,1980-07-16,232.0
District of Columbia,1980-07-17,220.0
District of Columbia,1980-07-18,100.0
District of Columbia,1980-07-19,156.0
District of Columbia,1980-07-20,140.0
District of Columbia,1980-07-21,200.0
District of Columbia,1980-07-22,79.0
District of Columbia,1980-07-23,52.0
District of Columbia,1980-07-24,68.0
District of Columbia,1980-07-25,143.0
District of Columbia,1980-07-26,182.0
District of Columbia,1980-07-27,61.0
District of Columbia,1980-07-28,47.0
District of Columbia,1980-07-29,80.0
District of Columbia,1980-07-30,122.0
District of Columbia,1980-07-31,208.0
District of Columbia,1980-08-01,93.0
District of Columbia,1980-08-02,187.0
District of Columbia,1980-08-03,140.0
District of Columbia,1980-08-04,190.0
District of Columbia,1980-08-05,197.0
District of Columbia,1980-08-06,110.0
District of Columbia,1980-08-07,234.0
District of Columbia,1980-08-08,150.0
District of Columbia,1980-08-09,143.0
District of Columbia,1980-08-10,172.0
District of Columbia,1980-08-11,115.0
District of Columbia,1980-08-12,97.0
District of Columbia,1980-08-13,151.0
District of Columbia,1980-08-14,133.0
District of Columbia,1980-08-15,79.0
District of Columbia,1980-08-16,49.0
District of Columbia,1980-08-17,38.0
District of Columbia,1980-08-18,57.0
District of Columbia,1980-08-19,58.0
District of Columbia,1980-08-20,89.0
