Location,Date,People Employed
Fairfax,2008-12,13812
Fairfax,2009-01,13668
Fairfax,2009-02,13677
Fairfax,2009-03,13714
Fairfax,2009-04,13798
Fairfax,2009-05,13792
Fairfax,2009-06,13887
Fairfax,2009-07,14039
Fairfax,2009-08,13815
Fairfax,2009-09,13625
Fairfax,2009-10,13715
Fairfax,2009-11,13736
Fairfax,2009-12,13666
Fairfax,2010-01,11697
Fairfax,2010-02,11686
Fairfax,2010-03,11818
Fairfax,2010-04,11943
Fairfax,2010-05,11954
Fairfax,2010-06,12045
Fairfax,2010-07,12188
Fairfax,2010-08,12049
Fairfax,2010-09,12000
Fairfax,2010-10,12067
Fairfax,2010-11,12049
Fairfax,2010-12,12112
Fairfax,2011-01,11868
Fairfax,2011-02,11913
Fairfax,2011-03,12004
Fairfax,2011-04,12072
Fairfax,2011-05,12041
Fairfax,2011-06,12097
Fairfax,2011-07,12210
Fairfax,2011-08,12063
Fairfax,2011-09,12108
Fairfax,2011-10,12171
Fairfax,2011-11,12153
Fairfax,2011-12,12144
Fairfax,2012-01,12199
Fairfax,2012-02,12254
Fairfax,2012-03,12318
Fairfax,2012-04,12340
Fairfax,2012-05,12324
Fairfax,2012-06,12420
Fairfax,2012-07,12459
Fairfax,2012-08,12337
Fairfax,2012-09,12414
Fairfax,2012-10,12522
Fairfax,2012-11,12454
Fairfax,2012-12,12436
Fairfax,2013-01,12468
Fairfax,2013-02,12503
Fairfax,2013-03,12575
Fairfax,2013-04,12629
Fairfax,2013-05,12609
Fairfax,2013-06,12634
Fairfax,2013-07,12690
Fairfax,2013-08,12548
Fairfax,2013-09,12592
Fairfax,2013-10,12562
Fairfax,2013-11,12622
Fairfax,2013-12,12584
Fairfax,2014-01,12646
Fairfax,2014-02,12717
Fairfax,2014-03,12770
Fairfax,2014-04,12797
Fairfax,2014-05,12800
Fairfax,2014-06,12828
Fairfax,2014-07,12838
Fairfax,2014-08,12678
Fairfax,2014-09,12669
Fairfax,2014-10,12818
Fairfax,2014-11,12782
Fairfax,2014-12,12717
Fairfax,2015-01,12337
Fairfax,2015-02,12336
Fairfax,2015-03,12346
Fairfax,2015-04,12445
Fairfax,2015-05,12445
Fairfax,2015-06,12443
Fairfax,2015-07,12512
Fairfax,2015-08,12367
Fairfax,2015-09,12282
Fairfax,2015-10,12434
Fairfax,2015-11,12477
Fairfax,2015-12,12489
Fairfax,2016-01,12455
Fairfax,2016-02,12516
Fairfax,2016-03,12578
Fairfax,2016-04,12601
Fairfax,2016-05,12602
