Entity properties name,Variable observation date,Variable observation value
Loudoun County,2011,120096
Loudoun County,2012,122068
Loudoun County,2013,122238
Loudoun County,2014,123966
Loudoun County,2015,123453
Loudoun County,2016,125672
Loudoun County,2017,129588
Loudoun County,2018,136268
Loudoun County,2019,142299
Loudoun County,2020,147111
Loudoun County,2021,156821
Loudoun County,2022,170463
Loudoun County,2023,178707
