Entity properties name,Variable observation date,Variable observation value
Loudoun County,2015,9.740304215
Loudoun County,2016,9.807567276
Loudoun County,2017,9.129547949
Loudoun County,2018,9.345651557
Loudoun County,2019,8.03702034
Loudoun County,2020,8.19205828
Loudoun County,2021,8.190796223
Loudoun County,2022,8.198452978
Loudoun County,2023,7.832079846
